begin date,end date,mon,tue,wed,thu,fri,sat,sun
12/19/16,12/25/16,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED,CLOSED
12/26/16,1/1/17,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
1/2/17,1/8/17,CLOSED,CLOSED,CLOSED,CLOSED,8:30 AM - 4:30 PM,CLOSED,CLOSED
1/9/17,1/15/17,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:00 PM,12:30 PM - 4:00 PM
1/16/17,1/22/17,CLOSED,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 4:30 PM,CLOSED,CLOSED
1/23/17,1/29/17,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED
1/30/17,2/5/17,8:30 AM - 5:00 PM,8:30 AM - 6:30 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED
2/6/17,2/12/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,12:30 PM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED
2/13/17,2/19/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED
2/20/17,2/26/17,CLOSED,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED
2/27/17,3/5/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED
3/6/17,3/12/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED
3/13/17,3/19/17,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
3/20/17,3/26/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED
3/27/17,4/2/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED
4/3/17,4/9/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED
4/10/17,4/16/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,CLOSED,CLOSED,CLOSED
4/17/17,4/23/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,9:00 AM - 2:00 PM,CLOSED
4/24/17,4/30/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,1:00 PM - 7:00 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,CLOSED,CLOSED
5/1/17,5/7/17,8:30 AM - 5:00 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 6:15 PM,8:30 AM - 4:00 PM,8:30 AM - 1:30 PM,8:30 AM - 2:00 PM
5/8/17,5/14/17,10:00 AM - 6:30 PM,9:30 AM - 4:00 PM,9:30 AM - 6:30 PM,9:30 AM - 6:30 PM,9:30 AM - 3:00 PM,CLOSED,CLOSED
5/15/17,5/21/17,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 12:00 PM,8:30 AM - 4:00 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
5/22/17,5/28/17,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 6:00 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
5/29/17,6/4/17,CLOSED,CLOSED,1:30 PM - 5:30 PM,1:30 PM - 5:30 PM,CLOSED,CLOSED,CLOSED
6/5/17,6/11/17,1:00 PM - 5:30PM,2:00 PM - 5:30 PM,8:30 AM - 4:30 PM,8:30 AM - 5:30 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
6/12/17,6/18/17,8:30 AM - 4:30 PM,8:30 AM - 5:30 PM,8:30 AM - 4:30 PM,8:30 AM - 5:30 PM,CLOSED,CLOSED,CLOSED
6/19/17,6/25/17,8:30 AM - 4:30 PM,8:30 AM - 5:30 PM,8:30 AM - 4:30 PM,8:30 AM - 5:30 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
6/26/17,7/2/17,9:00 AM - 2:00 PM,1:30 PM - 5:30 PM,9:00 AM - 2:00 PM,1:30 PM - 5:30 PM,CLOSED,CLOSED,CLOSED
7/3/17,7/9/17,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
7/10/17,7/16/17,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
7/17/17,7/23/17,CLOSED,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
7/24/17,7/30/17,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
7/31/17,8/6/17,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:30 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
8/7/17,8/13/17,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
8/14/17,8/20/17,11:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 1:00 PM,CLOSED,CLOSED
8/21/17,8/27/17,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,10:00 AM - 3:00 PM
8/28/17,9/3/17,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,8:30 AM - 6:30 PM,,,
